#OTU ID	GW1941	GW1942	GW1944	GW1945	GW1946	GW1947	GW1948	GW1952	GW1953	GW1954	GW1955	GW1957	GW1958	GW1959	GW1964	GW1967	GW1968	GW1969	GW1973	GW1979	GW1982
OTU_1115	0	0	0	0	1	1	0	5	1	0	1	1	2	0	0	0	0	0	0	0	0
OTU_1116	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1117	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_1118	0	0	0	0	0	0	0	2	0	0	2	2	2	2	0	0	0	0	0	0	0
OTU_1119	0	0	0	0	0	0	0	0	4	2	0	4	0	2	0	0	0	0	0	0	0
OTU_112	0	3	0	0	0	0	1	0	0	0	0	0	0	0	24	10	79	27	9	17	0
OTU_1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0
OTU_1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	6	0	0
OTU_1123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1124	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	1	1	1	0	0
OTU_1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0
OTU_1126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0
OTU_1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0
OTU_113	6	6	2	1	1	0	5	1	1	0	0	0	0	0	42	42	43	28	8	13	0
OTU_1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU_1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0
OTU_1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU_1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0
OTU_1136	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	3	0	4	8	0
OTU_1137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	4	0
OTU_1138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	3	0	0
OTU_1139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
OTU_114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	6	0
OTU_1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
