dataset;sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
16s;OTU_971;Bacteria;Planctomycetota;OM190;;;;
16s;OTU_972;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Verruc-01;
16s;OTU_973;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
16s;OTU_974;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Kiloniella;
16s;OTU_975;Unclassified;;;;;;
16s;OTU_976;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Anderseniella;
16s;OTU_977;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;;
16s;OTU_978;Bacteria;NB1-j;;;;;
16s;OTU_979;Bacteria;Desulfobacterota;uncultured;;;;
16s;OTU_980;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;IheB2-23;
16s;OTU_981;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Carboxylicivirga;
16s;OTU_982;Unclassified;;;;;;
16s;OTU_983;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1;
16s;OTU_984;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
16s;OTU_985;Unclassified;;;;;;
16s;OTU_986;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
16s;OTU_987;Unclassified;;;;;;
16s;OTU_988;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
16s;OTU_989;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;;
16s;OTU_990;Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales;Obscuribacteraceae;;
16s;OTU_991;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
16s;OTU_992;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
16s;OTU_993;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;;
16s;OTU_994;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured;
16s;OTU_995;Bacteria;Planctomycetota;OM190;;;;
16s;OTU_996;Bacteria;Planctomycetota;vadinHA49;;;;
16s;OTU_997;Unclassified;;;;;;
16s;OTU_998;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Bauldia;
16s;OTU_999;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;;
16s;OTU_1000;Unclassified;;;;;;
16s;OTU_1001;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
16s;OTU_1002;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
16s;OTU_1003;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
16s;OTU_1004;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
16s;OTU_1005;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
16s;OTU_1006;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
16s;OTU_1007;Bacteria;Planctomycetota;OM190;;;;
16s;OTU_1008;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
16s;OTU_1009;Unclassified;;;;;;
16s;OTU_1010;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
16s;OTU_1011;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
16s;OTU_1012;Unclassified;;;;;;
16s;OTU_1013;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
16s;OTU_1014;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
16s;OTU_1015;Unclassified;;;;;;
16s;OTU_1016;Unclassified;;;;;;
16s;OTU_1017;Unclassified;;;;;;
16s;OTU_1018;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
16s;OTU_1019;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
16s;OTU_1020;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
16s;OTU_1021;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;;
16s;OTU_1022;Unclassified;;;;;;
16s;OTU_1023;Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;
16s;OTU_1024;Bacteria;WPS-2;;;;;
16s;OTU_1025;Unclassified;;;;;;
16s;OTU_1026;Unclassified;;;;;;
16s;OTU_1027;Bacteria;NB1-j;;;;;
16s;OTU_1028;Bacteria;NB1-j;;;;;
16s;OTU_1029;Unclassified;;;;;;
16s;OTU_1030;Unclassified;;;;;;
16s;OTU_1031;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;;
16s;OTU_1032;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
16s;OTU_1033;Unclassified;;;;;;
16s;OTU_1034;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
16s;OTU_1035;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
16s;OTU_1036;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;;
16s;OTU_1037;Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;;;
16s;OTU_1038;Unclassified;;;;;;
16s;OTU_1039;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;Aestuariispira;
16s;OTU_1040;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
16s;OTU_1041;Bacteria;NB1-j;;;;;
16s;OTU_1042;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;;
16s;OTU_1043;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
16s;OTU_1044;Bacteria;Planctomycetota;Pla3 lineage;;;;
16s;OTU_1045;Unclassified;;;;;;
16s;OTU_1046;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
16s;OTU_1047;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
16s;OTU_1048;Unclassified;;;;;;
16s;OTU_1049;Unclassified;;;;;;
16s;OTU_1050;Unclassified;;;;;;
16s;OTU_1051;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
16s;OTU_1052;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
16s;OTU_1053;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;;;
16s;OTU_1054;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Photobacterium;
16s;OTU_1055;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Cohaesibacter;
16s;OTU_1056;Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Arthrospira;PCC-7345
16s;OTU_1057;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Oceanospirillaceae;Oceanospirillum;
16s;OTU_1058;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
16s;OTU_1059;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
16s;OTU_1060;Unclassified;;;;;;
16s;OTU_1061;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
16s;OTU_1062;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
16s;OTU_1063;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Aureibacter;
16s;OTU_1064;Bacteria;Planctomycetota;OM190;;;;
16s;OTU_1065;Unclassified;;;;;;
16s;OTU_1066;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
16s;OTU_1067;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;uncultured;
16s;OTU_1068;Unclassified;;;;;;
16s;OTU_1069;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;;
16s;OTU_1070;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;;;
16s;OTU_1071;Bacteria;Planctomycetota;Pla4 lineage;;;;
16s;OTU_1072;Bacteria;Myxococcota;Polyangia;Polyangiales;Eel-36e1D6;;
16s;OTU_1073;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;;
16s;OTU_1074;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
16s;OTU_1075;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;;;
16s;OTU_1076;Bacteria;Verrucomicrobiota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;R76-B128;
16s;OTU_1077;Bacteria;Acidobacteriota;Subgroup 21;;;;
16s;OTU_1078;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;;
16s;OTU_1079;Unclassified;;;;;;
16s;OTU_1080;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;;
16s;OTU_1081;Bacteria;Cyanobacteria;Cyanobacteriia;Phormidesmiales;Nodosilineaceae;MBIC10086;
16s;OTU_1082;Unclassified;;;;;;
16s;OTU_1083;Bacteria;Planctomycetota;OM190;;;;
16s;OTU_1084;Bacteria;Planctomycetota;BD7-11;;;;
16s;OTU_1085;Unclassified;;;;;;
16s;OTU_1086;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
16s;OTU_1087;Unclassified;;;;;;
16s;OTU_1088;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;
16s;OTU_1089;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fabibacter;
16s;OTU_1090;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
16s;OTU_1091;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Portibacter;
16s;OTU_1092;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;;;
16s;OTU_1093;Bacteria;Planctomycetota;028H05-P-BN-P5;;;;
16s;OTU_1094;Unclassified;;;;;;
16s;OTU_1095;Bacteria;Planctomycetota;Pla4 lineage;;;;
16s;OTU_1096;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;;
16s;OTU_1097;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Reichenbachiella;
16s;OTU_1098;Unclassified;;;;;;
16s;OTU_1099;Unclassified;;;;;;
16s;OTU_1100;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;uncultured;
16s;OTU_1101;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2;
16s;OTU_1102;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
16s;OTU_1103;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
16s;OTU_1104;Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7;
16s;OTU_1105;Unclassified;;;;;;
16s;OTU_1106;Unclassified;;;;;;
16s;OTU_1107;Unclassified;;;;;;
16s;OTU_1108;Bacteria;;;;;;
16s;OTU_1109;Unclassified;;;;;;
16s;OTU_1110;Unclassified;;;;;;
16s;OTU_1111;Unclassified;;;;;;
16s;OTU_1112;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
16s;OTU_1113;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
16s;OTU_1114;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;;
16s;OTU_1115;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;
16s;OTU_1116;Unclassified;;;;;;
16s;OTU_1117;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 23;
16s;OTU_1118;Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;;
16s;OTU_1119;Unclassified;;;;;;
16s;OTU_1120;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
16s;OTU_1121;Unclassified;;;;;;
16s;OTU_1122;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
16s;OTU_1123;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
16s;OTU_1124;Unclassified;;;;;;
16s;OTU_1125;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
16s;OTU_1126;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
16s;OTU_1127;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1;
16s;OTU_1128;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
16s;OTU_1129;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;;
16s;OTU_1130;Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;;;
16s;OTU_1131;Unclassified;;;;;;
16s;OTU_1132;Unclassified;;;;;;
16s;OTU_1133;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;;
16s;OTU_1134;Unclassified;;;;;;
16s;OTU_1135;Unclassified;;;;;;
16s;OTU_1136;Unclassified;;;;;;
16s;OTU_1137;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
16s;OTU_1138;Bacteria;Bacteroidota;Kryptonia;Kryptoniales;MSB-3C8;;
16s;OTU_1139;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Anderseniella;
16s;OTU_1140;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;OM182 clade;;
16s;OTU_1141;Unclassified;;;;;;
16s;OTU_1142;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
16s;OTU_1143;Bacteria;Latescibacterota;;;;;
16s;OTU_1144;Unclassified;;;;;;
16s;OTU_1145;Unclassified;;;;;;
16s;OTU_1146;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
16s;OTU_1147;Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7;
16s;OTU_1148;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;
16s;OTU_1149;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;;
16s;OTU_1150;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;uncultured;
16s;OTU_1151;Bacteria;WPS-2;;;;;
16s;OTU_1152;Unclassified;;;;;;
16s;OTU_1153;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Litoricolaceae;Litoricola;
16s;OTU_1154;Unclassified;;;;;;
16s;OTU_1155;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
16s;OTU_1156;Unclassified;;;;;;
16s;OTU_1157;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
16s;OTU_1158;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
16s;OTU_1159;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
16s;OTU_1160;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
16s;OTU_1161;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
16s;OTU_1162;Unclassified;;;;;;
16s;OTU_1163;Bacteria;Planctomycetota;vadinHA49;;;;
16s;OTU_1164;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;;
16s;OTU_1165;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;SEEP-SRB1;
16s;OTU_1166;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus;Megaira
16s;OTU_1167;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;;
16s;OTU_1168;Unclassified;;;;;;
16s;OTU_1169;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;;
16s;OTU_1170;Unclassified;;;;;;
16s;OTU_1171;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;;
16s;OTU_1172;Unclassified;;;;;;
16s;OTU_1173;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
16s;OTU_1174;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured;
16s;OTU_1175;Bacteria;Planctomycetota;028H05-P-BN-P5;;;;
16s;OTU_1176;Unclassified;;;;;;
16s;OTU_1177;Unclassified;;;;;;
16s;OTU_1178;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
16s;OTU_1179;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;Hydrogenophilus;
16s;OTU_1180;Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;;
16s;OTU_1181;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus;
16s;OTU_1182;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter;
16s;OTU_1183;Bacteria;Planctomycetota;Pla4 lineage;;;;
16s;OTU_1184;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
16s;OTU_1185;Unclassified;;;;;;
16s;OTU_1186;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
16s;OTU_1187;Unclassified;;;;;;
16s;OTU_1188;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
16s;OTU_1189;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
16s;OTU_1190;Bacteria;Planctomycetota;OM190;;;;
16s;OTU_1191;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;
16s;OTU_1192;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
16s;OTU_1193;Unclassified;;;;;;
16s;OTU_1194;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
16s;OTU_1195;Unclassified;;;;;;
16s;OTU_1196;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Marinicella;
16s;OTU_1197;Unclassified;;;;;;
16s;OTU_1198;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Parvularculaceae;;
16s;OTU_1199;Bacteria;Desulfobacterota;uncultured;;;;
16s;OTU_1200;Unclassified;;;;;;
16s;OTU_1201;Unclassified;;;;;;
16s;OTU_1202;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
16s;OTU_1203;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Azoarcus;
16s;OTU_1204;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;;
16s;OTU_1205;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
16s;OTU_1206;Bacteria;Chloroflexi;JG30-KF-CM66;;;;
16s;OTU_1207;Unclassified;;;;;;
16s;OTU_1208;Unclassified;;;;;;
16s;OTU_1209;Unclassified;;;;;;
16s;OTU_1210;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
16s;OTU_1211;Unclassified;;;;;;
16s;OTU_1212;Bacteria;Proteobacteria;Gammaproteobacteria;AT-s2-59;;;
16s;OTU_1213;Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;;;
16s;OTU_1214;Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;;
16s;OTU_1215;Unclassified;;;;;;
16s;OTU_1216;Bacteria;Planctomycetota;Pla3 lineage;;;;
16s;OTU_1217;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
16s;OTU_1218;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1-7 clade;
16s;OTU_1219;Unclassified;;;;;;
16s;OTU_1220;Unclassified;;;;;;
16s;OTU_1221;Bacteria;Planctomycetota;OM190;;;;
16s;OTU_1222;Unclassified;;;;;;
16s;OTU_1223;Unclassified;;;;;;
16s;OTU_1224;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;uncultured;
16s;OTU_1225;Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Sva1033;;
16s;OTU_1226;Unclassified;;;;;;
16s;OTU_1227;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
16s;OTU_1228;Bacteria;Latescibacterota;;;;;
16s;OTU_1229;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
16s;OTU_1230;Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;;
16s;OTU_1231;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
16s;OTU_1232;Bacteria;PAUC34f;;;;;
16s;OTU_1233;Unclassified;;;;;;
16s;OTU_1234;Unclassified;;;;;;
16s;OTU_1235;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus;
16s;OTU_1236;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;
16s;OTU_1237;Unclassified;;;;;;
16s;OTU_1238;Unclassified;;;;;;
16s;OTU_1239;Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;;;
16s;OTU_1240;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
16s;OTU_1241;Bacteria;;;;;;
16s;OTU_1242;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
16s;OTU_1243;Unclassified;;;;;;
16s;OTU_1244;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;uncultured;
16s;OTU_1245;Unclassified;;;;;;
16s;OTU_1246;Unclassified;;;;;;
16s;OTU_1247;Bacteria;Chloroflexi;KD4-96;;;;
16s;OTU_1248;Unclassified;;;;;;
16s;OTU_1249;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;FS142-36B-02;
16s;OTU_1250;Unclassified;;;;;;
16s;OTU_1251;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;;
16s;OTU_1252;Unclassified;;;;;;
16s;OTU_1253;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
16s;OTU_1254;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Limibaculum;
16s;OTU_1255;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
16s;OTU_1256;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
16s;OTU_1257;Unclassified;;;;;;
16s;OTU_1258;Unclassified;;;;;;
16s;OTU_1259;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;;
16s;OTU_1260;Unclassified;;;;;;
16s;OTU_1261;Unclassified;;;;;;
16s;OTU_1262;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
16s;OTU_1263;Unclassified;;;;;;
16s;OTU_1264;Unclassified;;;;;;
16s;OTU_1265;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
16s;OTU_1266;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;uncultured;;
16s;OTU_1267;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;;
16s;OTU_1268;Bacteria;NB1-j;;;;;
16s;OTU_1269;Unclassified;;;;;;
16s;OTU_1270;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;;
16s;OTU_1271;Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;;;
16s;OTU_1272;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;;
16s;OTU_1273;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
16s;OTU_1274;Unclassified;;;;;;
16s;OTU_1275;Unclassified;;;;;;
16s;OTU_1276;Unclassified;;;;;;
16s;OTU_1277;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
16s;OTU_1278;Bacteria;Planctomycetota;BD7-11;;;;
16s;OTU_1279;Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154;;;
16s;OTU_1280;Unclassified;;;;;;
16s;OTU_1281;Unclassified;;;;;;
16s;OTU_1282;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
16s;OTU_1283;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
16s;OTU_1284;Unclassified;;;;;;
16s;OTU_1285;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;;
16s;OTU_1286;Unclassified;;;;;;
16s;OTU_1287;Unclassified;;;;;;
16s;OTU_1288;Unclassified;;;;;;
16s;OTU_1289;Unclassified;;;;;;
16s;OTU_1290;Unclassified;;;;;;
16s;OTU_1291;Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;
16s;OTU_1292;Unclassified;;;;;;
16s;OTU_1293;Bacteria;Planctomycetota;Pla4 lineage;;;;
16s;OTU_1294;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
16s;OTU_1295;Unclassified;;;;;;
16s;OTU_1296;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;;;
16s;OTU_1297;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
16s;OTU_1298;Bacteria;Planctomycetota;vadinHA49;;;;
16s;OTU_1299;Unclassified;;;;;;
16s;OTU_1300;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
