dataset;X.OTU.ID;GW1941;GW1942;GW1943;GW1944;GW1945;GW1946;GW1947;GW1948;GW1949;GW1950;GW1951;GW1952;GW1953;GW1954;GW1955;GW1956;GW1957;GW1958;GW1959;GW1960;GW1961;GW1962;GW1963;GW1964;GW1965;GW1966;GW1967;GW1968;GW1969;GW1970;GW1971;GW1972;GW1973;GW1974;GW1975;GW1976;GW1977;GW1978;GW1979;GW1980;GW1981;GW1982;GW1983;GW1984
16s;OTU_187;0;3;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_188;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;11;8;0;0;0;0;1;0;0;0;9;1;0;0;0;1;0;0;0;0;0;0
16s;OTU_189;0;5;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;11;6;0;0;10;2;1;0;0;0;2;0;0;0;1;2;20;0;0;0;0;0
16s;OTU_190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;8;3;1;2;8;6;8;9;8;6;1;2;0;4;1;2;2;0;0;0
16s;OTU_191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11;0;0;0;0;0;3;0;0;0;0;0;7;0;0;0;0;0;0;0
16s;OTU_193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;22;11;1;55;1;0;1;0;0;2;2;0;2;3;1;2;0;1;0;0;0
16s;OTU_194;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;3;75;55;22;0;0;0;1;3;0;4;3;2;2;0;4;0;0;0
16s;OTU_197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;11;0;0;0;5;1;0;0;0;0;0;1;0;0;0
16s;OTU_198;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;2;10;0;2;5;1;3;13;0;0;6;3;2;7;0;0;0;0;0;0;0
16s;OTU_199;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;9;3;7;5;0;10;1;0;16;0;0;8;8;3;7;1;0;0;0;0;0;0
16s;OTU_200;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;8;0;7;1;4;5;1;1;15;0;1;13;12;3;12;2;0;0;1;0;0;0
16s;OTU_201;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;5;3;9;2;4;1;0;5;5;6;1;12;1;0;0;1;0;0;0
16s;OTU_202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;3;0;0;0;11;0;0;0;0;0;0
16s;OTU_203;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;27;0;0;18;0;1;1;0;2;4;0;0;2;0;12;2;9;0;0;3;0
16s;OTU_204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;25;0;1;8;1;5;13;0;3;0;0;2;5;11;1;0;0;0
16s;OTU_205;1;2;0;0;1;0;0;1;13;8;12;0;0;0;0;0;0;0;0;1;2;0;5;0;8;13;11;28;8;7;22;1;4;14;9;8;6;12;0;0;15;0;0;0
16s;OTU_206;2;3;3;4;2;4;0;0;0;0;0;0;2;0;0;0;0;1;0;3;0;0;0;9;1;1;4;0;0;0;0;4;0;0;1;0;0;3;0;2;0;28;5;1
