sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_1093;Bacteria;Planctomycetota;028H05-P-BN-P5;;;;
OTU_1094;Unclassified;;;;;;
OTU_1095;Bacteria;Planctomycetota;Pla4 lineage;;;;
OTU_1096;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;;
OTU_1097;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Reichenbachiella;
OTU_1098;Unclassified;;;;;;
OTU_1099;Unclassified;;;;;;
OTU_1100;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;uncultured;
OTU_1101;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2;
OTU_1102;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
OTU_1103;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_1104;Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7;
OTU_1105;Unclassified;;;;;;
OTU_1106;Unclassified;;;;;;
OTU_1107;Unclassified;;;;;;
OTU_1108;Bacteria;;;;;;
OTU_1109;Unclassified;;;;;;
OTU_1110;Unclassified;;;;;;
OTU_1111;Unclassified;;;;;;
OTU_1112;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_1113;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
OTU_1114;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;;
OTU_1115;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;
OTU_1116;Unclassified;;;;;;
OTU_1117;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 23;
OTU_1118;Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;;
OTU_1119;Unclassified;;;;;;
OTU_1120;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_1121;Unclassified;;;;;;
OTU_1122;Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
OTU_1123;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_1124;Unclassified;;;;;;
OTU_1125;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
OTU_1126;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
OTU_1127;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1;
OTU_1128;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_1129;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;;
OTU_1130;Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;;;
OTU_1131;Unclassified;;;;;;
OTU_1132;Unclassified;;;;;;
OTU_1133;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;;
OTU_1134;Unclassified;;;;;;
OTU_1135;Unclassified;;;;;;
OTU_1136;Unclassified;;;;;;
OTU_1137;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_1138;Bacteria;Bacteroidota;Kryptonia;Kryptoniales;MSB-3C8;;
OTU_1139;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Anderseniella;
OTU_1140;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;OM182 clade;;
OTU_1141;Unclassified;;;;;;
OTU_1142;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
OTU_1143;Bacteria;Latescibacterota;;;;;
OTU_1144;Unclassified;;;;;;
OTU_1145;Unclassified;;;;;;
OTU_1146;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
OTU_1147;Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7;
OTU_1148;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;
OTU_1149;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;;
OTU_1150;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;uncultured;
OTU_1151;Bacteria;WPS-2;;;;;
