sequence_identifier	Domain	Phylum	Class	Order	Family	Genus
OTU_711	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
OTU_712	Unclassified					
OTU_713	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureicoccus
OTU_714	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_715	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
OTU_716	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus
OTU_717	Unclassified					
OTU_718	Unclassified					
OTU_719	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
OTU_720	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera
OTU_721	Unclassified					
OTU_722	Bacteria	Planctomycetes	OM190			
OTU_723	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	uncultured
OTU_724	Unclassified					
OTU_725	Unclassified					
OTU_726	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Chryseolinea
OTU_727	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Oceanococcus
OTU_728	Unclassified					
OTU_729	Unclassified					
OTU_730	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	uncultured
OTU_731	Unclassified					
OTU_732	Bacteria	Planctomycetes	OM190			
OTU_733	Unclassified					
OTU_734	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	uncultured
OTU_735	Unclassified					
OTU_736	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
OTU_737	Unclassified					
OTU_738	Bacteria	Planctomycetes	OM190			
OTU_739	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
OTU_740	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	
OTU_741	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_742	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
OTU_743	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
OTU_744	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Blastocatella
OTU_745	Unclassified					
OTU_746	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	
OTU_747	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	
OTU_748	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	
OTU_749	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
OTU_750	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	
OTU_751	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_752	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	uncultured
OTU_753	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	uncultured
OTU_754	Unclassified					
OTU_755	Bacteria	Bacteroidetes	Ignavibacteria	OPB56		
OTU_756	Unclassified					
OTU_757	Bacteria	Proteobacteria	Gammaproteobacteria			
OTU_758	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
OTU_759	Unclassified					
OTU_760	Bacteria	Cyanobacteria	Oxyphotobacteria	Thermosynechococcales	Acaryochloridaceae	Acaryochloris MBIC11017
OTU_761	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_762	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
OTU_763	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_764	Bacteria	WPS-2				
