sequence_identifier;Domain;Phylum;Class;Order;Family;Genus
OTU_1381;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage
OTU_1382;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium
OTU_1383;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;
OTU_1384;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;uncultured;
OTU_1385;Unclassified;;;;;
OTU_1386;Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;
OTU_1387;Unclassified;;;;;
OTU_1388;Unclassified;;;;;
OTU_1389;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1390;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium
OTU_1391;Unclassified;;;;;
OTU_1392;Unclassified;;;;;
OTU_1393;Unclassified;;;;;
OTU_1394;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;;
OTU_1395;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;
OTU_1396;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;
OTU_1397;Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;
OTU_1398;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1399;Bacteria;Planctomycetota;OM190;;;
OTU_1400;Unclassified;;;;;
OTU_1401;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;
OTU_1402;Unclassified;;;;;
OTU_1403;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;
OTU_1404;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_1405;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;
OTU_1406;Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7
OTU_1407;Unclassified;;;;;
OTU_1408;Unclassified;;;;;
OTU_1409;Bacteria;NB1-j;;;;
OTU_1410;Unclassified;;;;;
OTU_1411;Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria Incertae Sedis;Unknown Family;uncultured
OTU_1412;Unclassified;;;;;
OTU_1413;Unclassified;;;;;
OTU_1414;Unclassified;;;;;
OTU_1415;Bacteria;Planctomycetota;OM190;;;
OTU_1416;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02
OTU_1417;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1-7 clade
OTU_1418;Bacteria;Proteobacteria;Gammaproteobacteria;EC3;;
OTU_1419;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1420;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;
OTU_1421;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium
OTU_1422;Unclassified;;;;;
OTU_1423;Unclassified;;;;;
OTU_1424;Unclassified;;;;;
OTU_1425;Unclassified;;;;;
OTU_1426;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Parvularculaceae;
OTU_1427;Bacteria;Planctomycetota;OM190;;;
OTU_1428;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured
OTU_1429;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter
OTU_1430;Unclassified;;;;;
OTU_1431;Unclassified;;;;;
OTU_1432;Unclassified;;;;;
OTU_1433;Bacteria;NB1-j;;;;
OTU_1434;Unclassified;;;;;
OTU_1435;Bacteria;Planctomycetota;OM190;;;
OTU_1436;Bacteria;Proteobacteria;Gammaproteobacteria;AT-s16;;
OTU_1437;Unclassified;;;;;
OTU_1438;Bacteria;Proteobacteria;Alphaproteobacteria;;;
OTU_1439;Unclassified;;;;;
OTU_1440;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;Desulfofaba
OTU_1441;Unclassified;;;;;
OTU_1442;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia
OTU_1443;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1444;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Rubinisphaera
OTU_1445;Unclassified;;;;;
OTU_1446;Bacteria;Sumerlaeota;Sumerlaeia;Sumerlaeales;Sumerlaeaceae;Sumerlaea
OTU_1447;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1448;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured
OTU_1449;Unclassified;;;;;
OTU_1450;Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;;
OTU_1451;Unclassified;;;;;
OTU_1452;Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;
OTU_1453;Unclassified;;;;;
OTU_1454;Bacteria;Proteobacteria;Gammaproteobacteria;;;
OTU_1455;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula
OTU_1456;Unclassified;;;;;
OTU_1457;Unclassified;;;;;
OTU_1458;Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;JdFR-76
OTU_1459;Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;;
OTU_1460;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula
OTU_1461;Unclassified;;;;;
OTU_1462;Unclassified;;;;;
OTU_1463;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade
OTU_1464;Unclassified;;;;;
OTU_1465;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula
OTU_1466;Bacteria;Proteobacteria;Gammaproteobacteria;EV818SWSAP88;;
OTU_1467;Bacteria;PAUC34f;;;;
OTU_1468;Unclassified;;;;;
OTU_1469;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade
OTU_1470;Unclassified;;;;;
OTU_1471;Unclassified;;;;;
OTU_1472;Unclassified;;;;;
OTU_1473;Unclassified;;;;;
OTU_1474;Bacteria;Actinobacteriota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae;
OTU_1475;Unclassified;;;;;
OTU_1476;Bacteria;NB1-j;;;;
OTU_1477;Bacteria;Planctomycetota;BD7-11;;;
OTU_1478;Unclassified;;;;;
OTU_1479;Unclassified;;;;;
OTU_1480;Unclassified;;;;;
OTU_1481;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;uncultured
OTU_1482;Unclassified;;;;;
OTU_1483;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;
OTU_1484;Unclassified;;;;;
OTU_1485;Bacteria;Proteobacteria;Alphaproteobacteria;;;
OTU_1486;Unclassified;;;;;
OTU_1487;Bacteria;Proteobacteria;Gammaproteobacteria;EV818SWSAP88;;
OTU_1488;Unclassified;;;;;
OTU_1489;Unclassified;;;;;
OTU_1490;Unclassified;;;;;
OTU_1491;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_1492;Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Rickettsiella
OTU_1493;Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;;
OTU_1494;Unclassified;;;;;
OTU_1495;Bacteria;WPS-2;;;;
OTU_1496;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured
OTU_1497;Unclassified;;;;;
OTU_1498;Bacteria;Proteobacteria;Gammaproteobacteria;EPR3968-O8a-Bc78;;
OTU_1499;Unclassified;;;;;
OTU_1500;Unclassified;;;;;
OTU_1501;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;
OTU_1502;Bacteria;;;;;
OTU_1503;Unclassified;;;;;
OTU_1504;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;
